Campus location Name,Map link,Address
"UW Medical Center - Montlake, Wing SA - Montlake Tower (UMSA)","https://maps.google.com/maps?q=47.648716,-122.307337&t=k&z=18","47.648716,-122.307337"
"UW Medical Center - Montlake, Wing SE (UMSE)","https://maps.google.com/maps?q=47.6489789998,-122.307528&t=k&z=18","47.6489789998,-122.307528"
"UW Medical Center - Montlake, Wing SS (UMSS)","https://maps.google.com/maps?q=47.649247,-122.307768&t=k&z=18","47.649247,-122.307768"
"UW Medical Center - Montlake, Wing SW (UMSW)","https://maps.google.com/maps?q=47.6494270002,-122.307879&t=k&z=18","47.6494270002,-122.307879"
UW Medicinal Herb Garden (MHG),"https://maps.google.com/maps?q=47.652273,-122.308297&t=k&z=18","47.652273,-122.308297"
UW Tower Building C (UWTC),"https://maps.google.com/maps?q=47.6603980003,-122.315136&t=k&z=18","47.6603980003,-122.315136"
UW Tower Building O (UWTO),"https://maps.google.com/maps?q=47.6609250001,-122.315119&t=k&z=18","47.6609250001,-122.315119"
UW Tower Building S (UWTS),"https://maps.google.com/maps?q=47.6602300001,-122.314666&t=k&z=18","47.6602300001,-122.314666"
UW Tower Building T (UWTT),"https://maps.google.com/maps?q=47.6607459998,-122.314655&t=k&z=18","47.6607459998,-122.314655"
UW Tower Complex (SFCO),"https://maps.google.com/maps?q=47.660546,-122.314916&t=k&z=18","47.660546,-122.314916"
UWMC - Triangle Garage,"http://maps.google.com/maps?q=47.649971,-122.306091","47.649971,-122.306091"
Washington Park Arboretum (LNDMK-8),https://map.uw.edu/?id=2099#!m/975453?s/,"47.639822131615,-122.2945125991"
Waterfront Activities Center (WAC),"https://maps.google.com/maps?q=47.6485789998,-122.299819&t=k&z=18","47.6485789998,-122.299819"
West Campus Utility Plant (WCUP),"https://maps.google.com/maps?q=47.6538100002,-122.313017&t=k&z=18","47.6538100002,-122.313017"
West Receiving Station (WRS),"https://maps.google.com/maps?q=47.653663,-122.312546&t=k&z=18","47.653663,-122.312546"
Wilcox Hall (WIL),"https://maps.google.com/maps?q=47.6518459999,-122.304558&t=k&z=18","47.6518459999,-122.304558"
William H. Foege Bioengineering (BIOE),"https://maps.google.com/maps?q=47.6524730002,-122.312586&t=k&z=18","47.6524730002,-122.312586"
William H. Foege Genome Sciences (GNOM),"https://maps.google.com/maps?q=47.6519189998,-122.313181&t=k&z=18","47.6519189998,-122.313181"
William H. Gates Hall (LAW),"https://maps.google.com/maps?q=47.6592280002,-122.310931&t=k&z=18","47.6592280002,-122.310931"
Wilson Annex (WLA),"https://maps.google.com/maps?q=47.6513799998,-122.305174&t=k&z=18","47.6513799998,-122.305174"
Wilson Ceramic Laboratory (WCL),"https://maps.google.com/maps?q=47.6516789998,-122.304847&t=k&z=18","47.6516789998,-122.304847"
Winkenwerder Forest Sciences Laboratory (WFS),"https://maps.google.com/maps?q=47.6514440001,-122.306858&t=k&z=18","47.6514440001,-122.306858"
