Campus location Name,Map link,Address
"Haring Center, EEU School (CHSC)","https://maps.google.com/maps?q=47.6481480002,-122.307517&t=k&z=18","47.6481480002,-122.307517"
Harris Hydraulics Laboratory (HHL),"https://maps.google.com/maps?q=47.6499840001,-122.311461&t=k&z=18","47.6499840001,-122.311461"
Health Sciences Education Building (HSEB),"https://maps.google.com/maps?q=47.6516359999,-122.310452&t=k&z=18","47.6516359999,-122.310452"
Hec Edmundson Pavilion (EDP),"https://maps.google.com/maps?q=47.6520810002,-122.301972&t=k&z=18","47.6520810002,-122.301972"
Henderson Hall (HND),"https://maps.google.com/maps?q=47.6551699997,-122.316929&t=k&z=18","47.6551699997,-122.316929"
Henry Art Gallery (HAG),"https://maps.google.com/maps?q=47.6565289999,-122.311726&t=k&z=18","47.6565289999,-122.311726"
Hitchcock Hall (HCK),"https://maps.google.com/maps?q=47.6518910002,-122.311564&t=k&z=18","47.6518910002,-122.311564"
Husky Ballpark (X244),"https://maps.google.com/maps?q=47.654772,-122.298774&t=k&z=18","47.654772,-122.298774"
Husky Softball Stadium (SBS),"https://maps.google.com/maps?q=47.6506849998,-122.300012&t=k&z=18","47.6506849998,-122.300012"
Hutchinson Hall (HUT),"https://maps.google.com/maps?q=47.6595909999,-122.306627&t=k&z=18","47.6595909999,-122.306627"
IMA Sports Field #1,"http://maps.google.com/maps?q=47.660101425544,-122.29540846153","47.660101425544,-122.29540846153"
IMA Sports Field #2,"http://maps.google.com/maps?q=47.657066348,-122.2980477552","47.657066348,-122.2980477552"
IMA Sports Field #3,"http://maps.google.com/maps?q=47.654710428096,-122.30059585377","47.654710428096,-122.30059585377"
Institute on Human Development and Disability Clinic (CHCL),"https://maps.google.com/maps?q=47.648471,-122.308273&t=k&z=18","47.648471,-122.308273"
Institute on Human Development and Disability South (CHSB),"https://maps.google.com/maps?q=47.6481260001,-122.308669&t=k&z=18","47.6481260001,-122.308669"
Instructional Center Annex (IC2),"https://maps.google.com/maps?q=47.6549990002,-122.314227&t=k&z=18","47.6549990002,-122.314227"
Intellectual House (INT),"https://maps.google.com/maps?q=47.658296,-122.304797&t=k&z=18","47.658296,-122.304797"
Interdisciplinary Engineering Building (IEB),"https://maps.google.com/maps?q=47.6546955881,-122.3039581656&t=k&z=18","47.6546955881,-122.3039581656"
Intramural Activities Building (IMA),"https://maps.google.com/maps?q=47.653611,-122.30133&t=k&z=18","47.653611,-122.30133"
Intramural Sports Fields (X249),"https://maps.google.com/maps?q=47.660278,-122.2945&t=k&z=18","47.660278,-122.2945"
Isaacson Hall (ISA),"https://maps.google.com/maps?q=47.6578889999,-122.289906&t=k&z=18","47.6578889999,-122.289906"
John M. Wallace Hall (ACC),"https://maps.google.com/maps?q=47.6530029998,-122.314905&t=k&z=18","47.6530029998,-122.314905"
Johnson Hall (JHN),"https://maps.google.com/maps?q=47.6546030001,-122.308889&t=k&z=18","47.6546030001,-122.308889"
Kane Hall (KNE),"https://maps.google.com/maps?q=47.656561,-122.309239&t=k&z=18","47.656561,-122.309239"
Kincaid Hall (KIN),"https://maps.google.com/maps?q=47.6526550001,-122.310597&t=k&z=18","47.6526550001,-122.310597"
Kirsten Wind Tunnel (KIR),"https://maps.google.com/maps?q=47.6544200001,-122.305832&t=k&z=18","47.6544200001,-122.305832"
Lander Hall (LAN),"https://maps.google.com/maps?q=47.6557210001,-122.315019&t=k&z=18","47.6557210001,-122.315019"
Lewis Hall (LEW),"https://maps.google.com/maps?q=47.658855,-122.305343&t=k&z=18","47.658855,-122.305343"
Life Sciences Building (LSB),"https://maps.google.com/maps?q=47.6524010001,-122.31001&t=k&z=18","47.6524010001,-122.31001"
Loew Hall (LOW),"https://maps.google.com/maps?q=47.6542750002,-122.304498&t=k&z=18","47.6542750002,-122.304498"
Magnuson Health Sciences Center A (HSA),"https://maps.google.com/maps?q=47.6501580001,-122.308168&t=k&z=18","47.6501580001,-122.308168"
Magnuson Health Sciences Center AA (HSAA),"https://maps.google.com/maps?q=47.649701,-122.30844&t=k&z=18","47.649701,-122.30844"
Magnuson Health Sciences Center B (HSB),"https://maps.google.com/maps?q=47.6497479998,-122.308866&t=k&z=18","47.6497479998,-122.308866"
Magnuson Health Sciences Center BB (HSBB),"https://maps.google.com/maps?q=47.6496650002,-122.30777&t=k&z=18","47.6496650002,-122.30777"
Magnuson Health Sciences Center C (HSC),"https://maps.google.com/maps?q=47.6501799999,-122.308659&t=k&z=18","47.6501799999,-122.308659"
Magnuson Health Sciences Center D (HSD),"https://maps.google.com/maps?q=47.6501450001,-122.309264&t=k&z=18","47.6501450001,-122.309264"
Magnuson Health Sciences Center E (HSE),"https://maps.google.com/maps?q=47.6505129998,-122.309345&t=k&z=18","47.6505129998,-122.309345"
Magnuson Health Sciences Center F (HSF),"https://maps.google.com/maps?q=47.6505,-122.309834&t=k&z=18","47.6505,-122.309834"
Magnuson Health Sciences Center G (HSG),"https://maps.google.com/maps?q=47.6508219999,-122.30997&t=k&z=18","47.6508219999,-122.30997"
Magnuson Health Sciences Center H (HSH),"https://maps.google.com/maps?q=47.6507549998,-122.310499&t=k&z=18","47.6507549998,-122.310499"
Magnuson Health Sciences Center I (HSI),"https://maps.google.com/maps?q=47.6511819997,-122.310695&t=k&z=18","47.6511819997,-122.310695"
Magnuson Health Sciences Center J (HSJ),"https://maps.google.com/maps?q=47.6513979998,-122.31122&t=k&z=18","47.6513979998,-122.31122"
Magnuson Health Sciences Center RR (HSRR),"https://maps.google.com/maps?q=47.649403,-122.3083&t=k&z=18","47.649403,-122.3083"
Magnuson Health Sciences Center T (HST),"https://maps.google.com/maps?q=47.6508959997,-122.309108&t=k&z=18","47.6508959997,-122.309108"
Maple Hall (MAH),"https://maps.google.com/maps?q=47.6557569999,-122.316049&t=k&z=18","47.6557569999,-122.316049"
Marine Sciences Building (MSB),"https://maps.google.com/maps?q=47.6498849999,-122.312928&t=k&z=18","47.6498849999,-122.312928"
Marine Studies Building (MAR),"https://maps.google.com/maps?q=47.6524779997,-122.31494&t=k&z=18","47.6524779997,-122.31494"
Marvin Oliver Hall (WLW),"https://maps.google.com/maps?q=47.6599320003,-122.304331&t=k&z=18","47.6599320003,-122.304331"
Mary Gates Hall (MGH),"https://maps.google.com/maps?q=47.6548289998,-122.307751&t=k&z=18","47.6548289998,-122.307751"
McCarty Hall (MCC),"https://maps.google.com/maps?q=47.6606009999,-122.304953&t=k&z=18","47.6606009999,-122.304953"
McMahon Hall (MCM),"https://maps.google.com/maps?q=47.6581880001,-122.303669&t=k&z=18","47.6581880001,-122.303669"
Meany Hall (MNY),"https://maps.google.com/maps?q=47.6555489997,-122.31054&t=k&z=18","47.6555489997,-122.31054"
Mechanical Engineering Building (MEB),"https://maps.google.com/maps?q=47.6536929997,-122.304747&t=k&z=18","47.6536929997,-122.304747"
Medal of Honor Memorial (LNDMK-6),https://map.uw.edu/?id=2099#!m/975446?s/,"47.657334,-122.309675"
Merrill Hall (NMH),"https://maps.google.com/maps?q=47.657873,-122.290522&t=k&z=18","47.657873,-122.290522"
Miller Hall (MLR),"https://maps.google.com/maps?q=47.657207,-122.306328&t=k&z=18","47.657207,-122.306328"
Molecular Engineering & Sciences Building (MOL),"https://maps.google.com/maps?q=47.6544037572,-122.3096391046&t=k&z=18","47.6544037572,-122.3096391046"
More Hall (MOR),"https://maps.google.com/maps?q=47.6524889998,-122.304856&t=k&z=18","47.6524889998,-122.304856"
Mueller Hall (MUE),"https://maps.google.com/maps?q=47.652232,-122.305364&t=k&z=18","47.652232,-122.305364"
Music Building (MUS),"https://maps.google.com/maps?q=47.6576670003,-122.305784&t=k&z=18","47.6576670003,-122.305784"
Nanoengineering & Sciences Building (NAN),"https://maps.google.com/maps?q=47.6546809997,-122.30985&t=k&z=18","47.6546809997,-122.30985"
Nordstrom Tennis Center (NTC),"https://maps.google.com/maps?q=47.651859,-122.300039&t=k&z=18","47.651859,-122.300039"
North Physics Laboratory Cyclotron Building (NPC),"https://maps.google.com/maps?q=47.6596639999,-122.303049&t=k&z=18","47.6596639999,-122.303049"
North Physics Laboratory Cyclotron Shop (NPS),"https://maps.google.com/maps?q=47.6591069997,-122.302907&t=k&z=18","47.6591069997,-122.302907"
North Physics Laboratory Van de Graaff Accelerator (NPV),"https://maps.google.com/maps?q=47.6599940001,-122.302852&t=k&z=18","47.6599940001,-122.302852"
Northlake Building (NLB),"https://maps.google.com/maps?q=47.6550319999,-122.319025&t=k&z=18","47.6550319999,-122.319025"
Northwest Horticultural Society Hall (NHS),"https://maps.google.com/maps?q=47.6580639997,-122.290154&t=k&z=18","47.6580639997,-122.290154"
Oak Hall (OAK),"https://maps.google.com/maps?q=47.6593390001,-122.305577&t=k&z=18","47.6593390001,-122.305577"
Ocean Research Building 2 (OR2),"https://maps.google.com/maps?q=47.6524080003,-122.314221&t=k&z=18","47.6524080003,-122.314221"
Ocean Sciences Building (OCN),"https://maps.google.com/maps?q=47.651296,-122.312693&t=k&z=18","47.651296,-122.312693"
Oceanography Building (OCE),"https://maps.google.com/maps?q=47.6491199997,-122.310612&t=k&z=18","47.6491199997,-122.310612"
Oceanography Dock Building (ODB),"https://maps.google.com/maps?q=47.6488129999,-122.311021&t=k&z=18","47.6488129999,-122.311021"
Oceanography Storage Shed (OSS),"https://maps.google.com/maps?q=47.6486789998,-122.310449&t=k&z=18","47.6486789998,-122.310449"
Oceanography Teaching Building (OTB),"https://maps.google.com/maps?q=47.6502589998,-122.312302&t=k&z=18","47.6502589998,-122.312302"
Odegaard Library (OUG),"https://maps.google.com/maps?q=47.656453,-122.31044&t=k&z=18","47.656453,-122.31044"
